Comment,Designator,Footprint,LCSC
5.1k,"R4,R5",Resistor_SMD:R_0402_1005Metric,C25905
1k,R2,Resistor_SMD:R_0402_1005Metric,C11702
~,U1,Package_SO:TSSOP-20_4.4x6.5mm_P0.65mm,C111367
PWR/USR LED,D1,LED_SMD:LED_0402_1005Metric,C130724
RESET,SW2,Button_Switch_SMD:SW_Push_SPST_NO_Alps_SKRK,C115357
10k,R1,Resistor_SMD:R_0402_1005Metric,C25744
PMEG2010EA,D2,Diode_SMD:D_0402_1005Metric,C2837790
BOOT,SW1,Button_Switch_SMD:SW_Push_SPST_NO_Alps_SKRK,C115357
100nF,"C1,C2",Capacitor_SMD:C_0402_1005Metric,C1525
0,R3,Resistor_SMD:R_0402_1005Metric,C17168
USBLC6-2SC6,U2,Package_TO_SOT_SMD:SOT-23-6,C2687116
USB_C_Receptacle_USB2.0,J1,Connector_USB:USB_C_Receptacle_HRO_TYPE-C-31-M-12,C2765186
500mA,F1,Fuse:Fuse_0402_1005Metric,C210357
